stem,path,parent,tag,group,nC,pdgm_file,pi_file,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74
5-3_FTCA,ALLxyz/PFOA/5-3_FTCA.xyz,PFOA,FTCA,FTCA | PFOA,8,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/5-3_FTCA.pdgm,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/5-3_FTCA_pi.npy,-0.12748678777651193,0.019345511592979068,-0.005311168876263243,0.02668203763403562,-0.02041153211884733,0.01614160226028616,-0.020623419377061556,-0.0123040919730208,-0.005852877207167492,-0.008177502240384606,-0.002141118434807573,0.02512104602409342,-0.00025047187033852856,0.008498903673171477,0.005047783447045118,0.007180504803980447,0.004176872991965705,-0.0007637212699790035,0.002191148377317616,-0.002975388731204604,0.00042460851557652905,0.0008959436456156034,0.0007615640283564468,-0.0004533737403682418,0.0009329486068887751,0.0010796284724026715,0.0004541658068236798,2.3690114531795928e-05,3.195014961911537e-05,-0.0002442027229506551,-0.00022383856446578636,-0.00032545664946135737,0.0001641221629968051,-4.8264388207867535e-05,0.00022454963184705799,-1.7288499841619258e-05,1.971675197403865e-06,-8.150200753275088e-05,0.00016614993975765972,-6.0374699410259865e-06,-1.4499301515133542e-05,-9.377742033503877e-06,-4.5976809055267085e-05,3.38903875179731e-05,5.4773488726494386e-05,-1.0277313558995593e-05,-1.2297352770104497e-05,1.9608134878822313e-05,1.8248904367095048e-06,3.9219298482493855e-06,-6.53324998720274e-06,2.843424921648654e-06,-2.3103143111305772e-07,2.638731641937225e-07,-3.426820696653333e-06,2.7328607678976255e-07,-1.1157278572274662e-06,4.7383704044020925e-08,1.6634207998418967e-07,1.838001877203586e-07,-6.304850837444673e-07,-2.842048254191212e-07,2.0975721670642255e-07,-1.0099451556258703e-07,2.3777939201509984e-07,2.839397440614056e-07,6.949884211992991e-08,3.190253802639071e-17,-1.1842406578258235e-19,9.216928812323003e-20,-3.529645569266141e-20,2.3417286970332197e-23,3.998979674808422e-24,-1.9276990475174972e-25
1-7_FTCA,ALLxyz/PFOA/1-7_FTCA.xyz,PFOA,FTCA,FTCA | PFOA,8,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/1-7_FTCA.pdgm,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/1-7_FTCA_pi.npy,-0.1046284641413841,0.02186745167887534,-0.014039211341705549,-0.009044378085409246,-0.005594934224876146,0.008523194272078783,-0.001317787236679048,0.013030538781990947,0.005101168466222652,-0.011345444143301688,-0.006439159354733451,0.00033811982660967465,0.00660160435064306,0.004390118041364936,0.0011660123639957852,0.004318662292621462,-0.001078913965653271,0.002644708009945709,-0.0020287156826882848,0.0007527775029331861,5.70842995927811e-06,8.301049513230566e-05,-0.0006841462464830188,0.0006250304034380875,-0.00021739597771209732,0.0005324725337159354,-0.0010567889906125671,0.0008140008778164652,-0.0005320803579826152,8.483682921849389e-05,-0.00032332243871617165,0.0005332810485407035,0.00038958538063537773,-0.00011040813329280757,-5.0944073042705834e-05,-4.745792109677152e-05,-0.0001480743249426161,0.0002077919403564703,-5.04881283293087e-05,-2.311852097637166e-05,3.0522451329608794e-05,-2.5729342993363865e-05,-4.18335544059105e-05,-3.557252787709167e-05,-3.813356957365289e-05,-2.8752749675157224e-05,1.2177978996716353e-05,-1.5386233435094657e-05,-1.0889936661060185e-07,-4.595124306599589e-06,-2.0424481052850257e-05,6.080642288775351e-06,3.7268579356528877e-06,3.2214144568148225e-06,-4.754313547923886e-06,2.3383856670737763e-06,-3.4996961923710506e-07,1.052023904939401e-06,7.952315051020806e-08,-7.542831662609569e-07,-5.275350432785688e-07,-4.7561068779343224e-07,4.694192034283103e-07,-1.8798778173054691e-07,4.009283422544687e-07,2.3948205850413196e-07,9.378400143254666e-08,3.190253802639535e-17,-1.184240657807113e-19,9.216928811967724e-20,-3.529645569136271e-20,2.341728687635229e-23,3.99897965285396e-24,-1.9276987995752166e-25
2-6_FTCA,ALLxyz/PFOA/2-6_FTCA.xyz,PFOA,FTCA,FTCA | PFOA,8,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/2-6_FTCA.pdgm,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/2-6_FTCA_pi.npy,-0.13738432639845238,0.05120398086031068,0.016921318551095393,-0.012804135076195369,-0.0006528783700877014,0.003781812753797254,0.03307835866617229,0.017084305125669812,-0.005642098345593018,-0.0006170518134470671,0.004401022980028177,0.013558550372246672,-0.011160651451173615,0.0050751566331379274,-0.023305085379471846,-0.004389219508589647,-0.0016990537404280466,0.0014468112347048707,-0.003272333704908303,0.0034133537463311944,0.004055153801426765,0.0015130074059895293,-0.0013105015714957827,-4.386558787526523e-06,0.0009949761179576034,0.001860504728149391,0.00042435930539676877,-0.0006085799394083069,0.0004690486017651925,0.00014567998180185253,-9.814519846530742e-05,9.784573144717983e-05,-3.429354434996711e-05,-8.990462996966516e-06,-2.2765122839979982e-05,-1.0497547333128598e-05,-2.6878787915926977e-05,1.1274809766146963e-05,2.3527959387494812e-05,-1.2683226303525063e-05,8.567406532241636e-06,-2.777008274287994e-06,-3.8685665182532955e-06,-2.194547534242736e-06,-1.0320892392429122e-06,9.694686879866348e-07,5.166319207534844e-07,-5.2503496604864e-07,2.8228479843964806e-07,-3.7519267957297564e-07,2.352054288460658e-07,2.063359377377249e-08,-1.0279978748172079e-08,-1.234832416477382e-08,2.7919860012217627e-09,-3.404234846950099e-08,-1.6827907614232037e-08,1.7413236963489503e-08,3.920235377484402e-09,1.0050196993421129e-09,-3.139781177579824e-09,-8.62157680293534e-10,-5.5336102061345434e-09,-1.958750871444367e-09,-1.0926812244441669e-09,-2.4545856198411704e-09,-8.278059900728877e-10,3.19025380264025e-17,-1.1842406578225901e-19,9.216928812302769e-20,-3.5296455692540424e-20,2.341728691900521e-23,3.998979658614087e-24,-1.9276984318397323e-25
3-5_FTCA,ALLxyz/PFOA/3-5_FTCA.xyz,PFOA,FTCA,FTCA | PFOA,8,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/3-5_FTCA.pdgm,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/3-5_FTCA_pi.npy,-0.11539171534550528,-0.007550581622522234,-0.026814512244843866,0.03524227351368306,-0.023031096186166077,0.010288441337391877,-0.0060770047833488845,-0.001579989639380624,-0.005858343804989703,0.0017274871635217352,0.0018688903379582747,0.0006402625168224628,9.987562915500521e-05,-0.006052318007839476,-0.0006379955960600548,-0.0013306966419894446,-0.001635972171351051,-0.005305360055138868,0.00277826928572877,-0.002288617676267835,0.0020429810198722502,0.0018045701867889711,-0.0013148614344299714,-0.0010735002769484327,-9.491645142292919e-05,0.00015382764219967318,-0.0012974462152671178,-0.00021693548872183898,-0.00015093706614773952,0.0002205131002230752,0.00015520841680105436,0.00022003797128330045,0.0004230232553208531,0.000688840538662374,-0.0003012641112117061,8.020568867881674e-05,-6.637437969164501e-05,-4.320886531755185e-05,-8.986270553972175e-05,8.605361710002902e-05,-8.281278152603501e-05,-3.960585432803576e-05,-2.142816734934053e-05,6.290079783199911e-05,1.1510306022355397e-05,-2.451679168960247e-05,1.1893378919657867e-05,-1.33771447789561e-05,-8.911062500314404e-06,-1.3689818189049697e-05,-1.2766004853456487e-06,-2.8150726651482627e-06,2.6877382366936137e-07,-5.138732637384576e-06,-4.348551412278698e-07,-7.42932168550318e-07,6.173273242227717e-07,1.2596792479453284e-06,6.558401709587072e-07,-1.4817518312147738e-07,9.971862553640716e-08,4.5619906959607543e-07,-9.006829482066094e-07,-7.312381554740354e-08,-1.852964655865218e-07,-3.505609859798112e-07,-1.2336533172868667e-07,3.190253802638341e-17,-1.184240657825949e-19,9.216928812643005e-20,-3.529645569374945e-20,2.3417287003345988e-23,3.998979663549656e-24,-1.9276976782894343e-25
4-4_FTCA,ALLxyz/PFOA/4-4_FTCA.xyz,PFOA,FTCA,FTCA | PFOA,8,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/4-4_FTCA.pdgm,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/4-4_FTCA_pi.npy,-0.13138389600524086,0.06210183402465922,0.02946848235330699,-0.02771379471438342,-0.008644880556261064,0.017682807517937625,0.05592683011010668,0.009088245948466024,-0.002777194395357144,0.007136802141446643,-0.007346834822462526,0.003039580396083025,-0.011585883220945895,-0.006816986515178858,0.008610370029402613,-0.0018612793947728075,0.006632428566871637,0.004792988665346941,0.008404246621073053,0.0007715991065366071,-1.873950244551163e-05,-0.0038843910260716046,-0.0019648301247677307,0.0023993396577929008,0.0003134488296568828,-9.784946196531885e-06,0.00024349242314010468,-0.00020334880288684206,-3.305589884972805e-05,0.0001793007620469273,-0.0003423467895629127,-0.0002464872912879213,0.00019207758468842628,0.00016767311903827966,-1.1305156698826201e-05,5.189643020136693e-05,-6.98965506812625e-05,3.087582704773135e-05,-8.215366341280783e-05,1.853726098334567e-05,-1.1870284747745387e-05,-6.070132841684979e-07,-2.9880659874235645e-06,-7.643234407071134e-06,2.0868877740144396e-06,1.6148610091909467e-06,-2.279453978345849e-06,4.39076691897093e-07,8.888804616908558e-07,1.1190176111576468e-06,4.267113530540694e-07,3.770184429268641e-07,-2.5727092894087065e-07,7.494582885693516e-08,2.8095543074490564e-07,5.8293070117581885e-08,-7.019441784452868e-08,-6.747636031492377e-09,-1.1142545011535687e-08,7.666661149232527e-09,1.1544108435749234e-08,1.3565791417877873e-08,-6.262642499695091e-09,1.578040195536307e-08,-3.2905376941847224e-09,2.7233007992302904e-09,2.559129177782261e-10,3.190253802640442e-17,-1.1842406578240018e-19,9.216928812295742e-20,-3.5296455692510156e-20,2.3417286919845737e-23,3.9989796571488796e-24,-1.9276983694938524e-25
6-2_FTCA,ALLxyz/PFOA/6-2_FTCA.xyz,PFOA,FTCA,FTCA | PFOA,8,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/6-2_FTCA.pdgm,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/6-2_FTCA_pi.npy,0.1577675390943386,-0.014561370780891501,0.03538806781805975,0.11330766680635024,0.056021064521622504,0.006852876925624363,0.029848615274444726,-0.012735547148584336,0.03031862300175773,-0.009149210372700818,0.002429305885140826,-0.003988591631077654,0.0005360184002455074,-0.0018155031935725735,0.001035531185401359,-0.004928149488521256,-0.004191948535143841,-0.0016747199486363085,0.0019593682193163793,-0.001496920235210367,-0.001712399311136879,-0.0018176300315044796,0.0036148786223742916,-0.001194041481635351,0.0016233949747734618,0.0015417810211390847,0.0008282662717411676,-0.00015422514735239731,0.0002270627898978576,0.00010461067641047718,0.0002410190773866462,4.44689370281235e-05,0.0005991199649525298,-0.00014488441795601424,0.00013278329895468764,-4.360861725730773e-05,0.0001253086140498048,0.00017918477602373167,-4.740379859196282e-05,-2.07554728251594e-05,-2.5700450231309487e-05,-3.196611686983188e-05,-1.7335624434240178e-05,1.4338216997033544e-05,2.111465797872628e-06,6.22586807291079e-06,-2.205737788674157e-06,-2.3425593589810732e-07,-1.6231638099591637e-06,-2.0597888831852543e-06,-6.057584886656697e-07,-1.5876973982342713e-06,8.10086034342293e-08,-1.1083294927401436e-07,-3.728314311038182e-07,-2.0936537850978963e-07,-1.4075903340206683e-07,-9.135151202526818e-08,-5.569543793138548e-08,-9.090914243173684e-08,-7.071483010429628e-08,-3.050991437354931e-08,1.1025441837234516e-09,-4.293943790619099e-11,2.8955309163581007e-08,-1.295742832777889e-08,1.461929250266776e-09,3.1902538026404223e-17,-1.1842406578235387e-19,9.216928812294361e-20,-3.529645569251085e-20,2.3417286931603293e-23,3.99897965661073e-24,-1.9276984579788631e-25
2-6_PFOS,ALLxyz/PFOS/2-6_PFOS.xyz,PFOS,PFOS,PFOS | PFOS,8,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/2-6_PFOS.pdgm,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/2-6_PFOS_pi.npy,-0.10756551169077433,-0.1080313699519673,0.08577490294151915,-0.026281669666822768,-0.057793930513557114,-0.04348047201757257,-0.004492189828204586,-0.0025654722419452066,0.029376444804825264,-0.023247401327381814,0.012247870069069116,0.008780928539706058,-0.0099075690648331,-0.021792139289166273,-0.0004781120276823429,0.006532928437458566,0.0017389307885999213,-0.0011105199887919786,-0.0021769291099367344,0.003430635959279132,-0.0019137039415575534,0.000593329816498127,0.0007277981293329208,0.0006809704249861726,-0.0007939687620876504,6.385880254905428e-05,-0.0004345950395323306,-1.7105215766709258e-05,0.0003680727051514475,-7.070880797203283e-05,-2.668327854815897e-05,-1.8698398498208264e-05,2.1035347119367996e-05,-7.939434422141559e-05,-6.579694820027438e-06,2.5101579233744327e-06,1.4588435662176595e-05,1.1485983104826475e-05,-9.87500144939945e-07,-1.9097633442578533e-06,-3.8374047967276334e-07,-8.046816517912327e-07,-2.4707931760499574e-07,1.1829799520182034e-06,4.2366286881550707e-07,3.568197222060143e-07,3.986803292049235e-08,-1.0107832320139963e-07,-4.169238137849933e-08,-4.692764990082156e-08,9.536275857988498e-09,-5.622265978253845e-08,-2.3187595323503085e-09,-2.3767717201446223e-09,-1.0888248131636256e-08,3.6799078348489832e-09,-6.104785827827053e-10,-2.4436388037425887e-09,-1.4836439965279721e-09,-1.2085899713874287e-09,-9.494278767849204e-10,-2.485202320260878e-10,-4.4186325173887775e-10,-1.884871835698095e-10,1.651820639712515e-10,-6.372217087806511e-10,3.8983235235655986e-11,3.1902538026403095e-17,-1.1842406578232787e-19,9.216928812294005e-20,-3.529645569251679e-20,2.3417286919669942e-23,3.998979651630582e-24,-1.9276983366305802e-25
3-5_PFOS,ALLxyz/PFOS/3-5_PFOS.xyz,PFOS,PFOS,PFOS | PFOS,8,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/3-5_PFOS.pdgm,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/3-5_PFOS_pi.npy,-0.058929619885715066,-0.22018210136688746,0.2029739013772212,-0.052143121078897646,-0.01582740505323354,-0.009896505112732424,-0.0023142161073259277,0.010771004541851932,-0.0014475677044743552,0.0015560620905449897,-0.0030720002152123593,-0.0023002337303367126,0.0005730164689002165,0.009870546451324784,0.0025634813418397915,-0.002432047976047025,-0.002544639308147417,0.0020509733237867207,0.0004358342101715556,0.000524280179580962,-0.0006921688431193276,0.001165038438919951,-0.0003418356663533104,-0.0008519532400024182,0.001481013564278902,-0.0005164458465487685,0.0016824316975683326,-0.000598654430193597,-0.0016475705798036234,0.00010100618337366285,-0.0001177969449879882,0.00017532174143477806,8.02395438695508e-05,0.00035279692239012495,5.599270402728288e-05,-5.090308440973251e-05,-5.470092821598536e-05,-4.195811743787194e-05,-8.509053927187207e-06,2.0455074314270513e-05,5.994905751413891e-06,6.315640438540258e-07,6.200026266889214e-06,-5.7711398511359254e-06,-3.5195413158660587e-07,-1.6067545244575232e-06,-9.450726766839065e-07,6.791658992386217e-07,6.624239727545612e-07,-2.1902661517061575e-07,-8.777997297674984e-08,1.9269880857948855e-07,1.6263891352841826e-08,6.841883613683247e-08,8.145975052362281e-08,2.1805371235346945e-08,1.9093844025974436e-08,2.370269092659583e-08,1.224148120078344e-08,4.040709363857514e-09,8.696720983762619e-10,4.742881121343495e-09,-1.3420136489952803e-09,3.417888979445582e-09,-1.4380863668542358e-09,1.778301043399094e-09,7.237974097514268e-11,3.1902538026403404e-17,-1.1842406578236597e-19,9.21692881229171e-20,-3.529645569249366e-20,2.3417286912147436e-23,3.998979652734329e-24,-1.9276983899712964e-25
4-4_PFOS,ALLxyz/PFOS/4-4_PFOS.xyz,PFOS,PFOS,PFOS | PFOS,8,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/4-4_PFOS.pdgm,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/4-4_PFOS_pi.npy,-0.07493662875556076,0.058945731665931325,0.029406868064167497,0.024255837637405415,0.011136160700671307,-0.01743991146395943,-0.01565659202217855,-0.007265599933614471,0.002217065680590953,-0.0022988941153501245,-0.010570377054586244,0.003002359963245898,-0.00923020201834421,0.008933295635501975,-0.005450574646072441,0.010658995133348772,0.002785751571119644,0.003321232741942923,0.0013719237841989828,-0.006205824014828139,-0.002939938702380214,0.001743652824056486,0.002060052422852426,-0.00019317739220107074,0.0009371624541466795,-0.0006663093834165907,-0.000861643243387252,-9.228399748927308e-06,0.0003769529821479171,0.0007899502815686767,-0.00021599124884603483,-4.464185469675681e-05,0.0001911852172596478,0.0002868119845470387,-0.0002436010464262224,-5.995655465927802e-06,0.00010433555166262095,4.726521408964515e-05,-4.2940681568861305e-06,3.1700040371016796e-05,6.793896855940877e-06,2.4345407725735222e-05,2.2821235973555468e-05,-4.158572490042985e-05,-3.908728955136219e-05,2.633462675680621e-05,-4.766437853264262e-06,-3.844091689624658e-06,-6.574456133358095e-06,7.692439721726843e-07,8.46394527459955e-06,-2.4919086604065113e-06,4.0853242603579697e-07,-2.616203810907518e-07,1.880438755172905e-06,-5.182721417703306e-08,8.391959707945136e-07,-2.850291182806286e-07,-2.0207944473594647e-07,-4.3368449988875724e-08,3.7661156308448115e-07,2.5946638038606955e-07,-1.634869627723153e-07,1.6276655998468547e-07,-2.0375305185602133e-07,-9.007500601970148e-08,-5.6240165678596795e-08,3.190253802640589e-17,-1.1842406578304137e-19,9.216928812306936e-20,-3.529645569252797e-20,2.341728688805638e-23,3.9989796484372895e-24,-1.9276981525163436e-25
6-2_PFOS,ALLxyz/PFOS/6-2_PFOS.xyz,PFOS,PFOS,PFOS | PFOS,8,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/6-2_PFOS.pdgm,ALLxyz/Extended_list_result/persistent_homology_data_canonical_bestmatch/6-2_PFOS_pi.npy,0.07737394115492434,0.0014733712296658489,-0.026702508247770766,-0.02119141447687753,-0.0032691407300862937,-0.0026455453568164514,-0.008902135707831292,0.00372500344231361,0.0013083587938261482,0.003922557991688054,-0.0010543534930848452,0.0009305527478132768,-0.001381989826831289,-0.001935374323413,-0.0010713710672439448,-0.0011553392557630301,-0.0007282341959059752,-0.0002142319864889855,0.0006675326682666669,-0.0013917464806668123,-8.224453708091164e-05,2.2628383756925614e-06,-0.00019499750174530836,-3.5314621277144904e-05,0.00017723156160938508,-0.0003362593305498335,0.0005140952202625122,0.00028397668904586065,0.0003409233633292671,-0.00025986406846103237,-5.914637193119705e-06,-8.71655842870102e-05,-0.00011340233155775137,0.00013436326740359143,0.00016769545699572743,-0.00012988640491789897,3.4578465033147264e-05,-2.776039232331347e-05,-4.963706601552744e-05,1.7195541823101045e-05,1.670843845134746e-05,-5.181310765415274e-05,1.6113308372270166e-05,-2.614749710647322e-06,-5.960496490840188e-06,2.982319901809817e-05,-4.813253140584917e-06,-6.497656838125791e-06,-6.432250757083823e-06,-2.2170120496277726e-05,7.947745269548566e-06,1.2226635601813848e-05,-6.457802171334256e-06,-1.8189816534902243e-08,-4.3715428341947826e-06,-2.143904940133761e-06,-1.5851689557230182e-06,5.914941219365288e-06,6.069525450329444e-07,-9.241739645900794e-07,1.873524440333414e-06,-8.458882002352429e-07,1.6979323899288722e-06,-6.554796093467932e-07,1.244026509338376e-06,-7.690818671172485e-07,6.508430989644109e-07,3.19025380267826e-17,-1.1842406577482468e-19,9.216928809970393e-20,-3.529645568399633e-20,2.3417286504302172e-23,3.9989796201592624e-24,-1.9277004737745296e-25
