PC,explained_variance,explained_variance_ratio,explained_variance_percent,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
PC1,0.030137351716367954,0.7711879553031183,77.11879553031183,0.7711879553031183,77.11879553031183
PC2,0.003277603883915625,0.08387096057141791,8.387096057141791,0.8550589158745363,85.50589158745363
PC3,0.0023218510364049153,0.05941409750051282,5.941409750051282,0.9144730133750492,91.44730133750491
PC4,0.0016521111667657721,0.042276051479983645,4.227605147998364,0.9567490648550327,95.67490648550327
PC5,0.0005635762364929531,0.014421413320214802,1.4421413320214802,0.9711704781752476,97.11704781752476
PC6,0.00030678487001606917,0.007850351246925626,0.7850351246925626,0.9790208294221733,97.90208294221733
PC7,0.0002413436903664424,0.0061757698171575216,0.6175769817157521,0.9851965992393308,98.51965992393308
PC8,0.00016969013001674616,0.004342219105193027,0.43422191051930265,0.9895388183445238,98.95388183445239
PC9,0.00010947883754020062,0.002801465824408696,0.2801465824408696,0.9923402841689325,99.23402841689325
PC10,8.739581558718144e-05,0.0022363809852649352,0.22363809852649352,0.9945766651541974,99.45766651541975
PC11,4.9233214485825105e-05,0.001259834054752144,0.12598340547521442,0.9958364992089496,99.58364992089496
PC12,3.950078981643178e-05,0.0010107899863957754,0.10107899863957753,0.9968472891953454,99.68472891953454
PC13,2.908588888271837e-05,0.0007442819590367294,0.07442819590367294,0.9975915711543821,99.75915711543821
PC14,2.5305174989223608e-05,0.0006475368619707919,0.06475368619707919,0.998239108016353,99.8239108016353
PC15,1.7989432849583237e-05,0.00046033354446330224,0.04603335444633022,0.9986994415608162,99.86994415608163
PC16,1.2333155570672735e-05,0.0003155944529066479,0.03155944529066479,0.9990150360137229,99.90150360137228
PC17,8.629917377281145e-06,0.000220831889917047,0.0220831889917047,0.9992358679036399,99.923586790364
PC18,7.2252498131141394e-06,0.00018488769956862195,0.018488769956862196,0.9994207556032085,99.94207556032086
PC19,5.777834004413086e-06,0.00014784961976350964,0.014784961976350965,0.9995686052229721,99.9568605222972
PC20,5.267717794044892e-06,0.00013479620083860905,0.013479620083860906,0.9997034014238106,99.97034014238106
PC21,3.782467386230118e-06,9.678996738135028e-05,0.009678996738135028,0.999800191391192,99.98001913911921
PC22,2.2731866280635515e-06,5.8168818687762e-05,0.005816881868776201,0.9998583602098798,99.98583602098799
PC23,1.838347562687586e-06,4.7041674774480424e-05,0.0047041674774480425,0.9999054018846543,99.99054018846543
PC24,9.370605028373558e-07,2.3978542639696262e-05,0.002397854263969626,0.999929380427294,99.99293804272939
PC25,7.844406776173025e-07,2.0073137411729645e-05,0.0020073137411729643,0.9999494535647057,99.99494535647057
PC26,5.946552923531607e-07,1.5216698644789874e-05,0.0015216698644789875,0.9999646702633505,99.99646702633504
PC27,4.6228912859931954e-07,1.1829566552450055e-05,0.0011829566552450056,0.9999764998299029,99.99764998299028
PC28,2.5618111770218776e-07,6.555446351336785e-06,0.0006555446351336785,0.9999830552762542,99.99830552762542
PC29,2.1962420515445859e-07,5.619987559031333e-06,0.0005619987559031333,0.9999886752638132,99.99886752638132
PC30,1.156228471679073e-07,2.958685551833533e-06,0.0002958685551833533,0.999991633949365,99.9991633949365
